a	@
armour	`6:m@
armpit	`6:mpIt
army	`6:mi:
aroma	@`r\@}m@
around	@`r\{Ond
arousal	@`r\{Oz@l
arouse	@`r\{Oz
arrange	@`r\{IndZ
arrangement	@`r\{IndZm@nt
array	@`r\{I
arrest	@`r\est
arrival	@`r\Aev@l
arrive	@`r\Aev
arrogant	`{r\@g@nt
arrow	`{r\@}
arse	6:s
arsenal	`6:s@n@l
arsenic	`6:s@nIk
arson	`6:s@n
art	6:t
artery	`6:t@r\i:
arthritis	6:`Tr\Aet@s
article	`6:tIk@l
artificial	6:t@`fIS@l
artist	`6:t@st
arvo	`6:v@}
as	{z
asbestos	@s`best@s
ascend	@`send
ascent	@`sent
ascertain	{s@`t{In
ash	{S
ashamed	@`S{Imd
aside	@`sAed
ask	6:sk
asked	6:skt
asleep	@`sli:p
asparagus	@`sp{r\@g@s
aspect	`{spekt
asphalt	`{Sfelt
aspire	@`spAe@
aspirin	`{spr\@n
ass	{s
assassin	@`s{s@n
assassinate	@`s{s@n{It
assault	@`sOlt
assemble	@`semb@l
assembly	@`sembli:
assent	@`sent
assert	@`s3:t
assertive	@`s3:tIv
assess	@`ses
asset	`{set
assign	@`sAen
assignment	@`sAenm@nt
assimilate	@`sIm@l{It
assist	@`sIst
associate	@`s@}Si:{It
association	@s@}si:`{IS@n
assortment	@`so:tm@nt
assume	@`sj}:m
assurance	@`So:r\@ns
assure	@`So:
asterisk	`{st@r\Isk
asthma	`{sm@
astonish	@`stOnIS
astound	@`st{Ond
astray	@`str\{I
astrology	@s`tr\Ol@dZi:
astronaut	`{str\@no:t
astronomy	@s`tr\On@mi:
astute	@s`tj}:t
asylum	@`sAel@m
at	{t
ate	{It
atheist	`{ITi:@st
athlete	`{Tli:t
atlas	`{tl@s
ATM	{Iti:`em
atmosphere	`{tm@sfI@
atom	`{t@m
atomic	@`tOmIk
atrocious	@`tr\@}S@s
attach	@`t{tS
attack	@`t{k
attacker	@t{k@
attain	@`t{In
attempt	@`tempt
attend	@`tend
attention	@`tenS@n
attic	`{tIk
attire	@`tAe@
attitude	`{t@tj}:d
attract	@`tr\{kt
attractive	@`tr\{ktIv
attracts	@tr\{ks
attribute	@`tr\Ibj}:t
atypical	{I`tIpIk@l
aubergine	`@}b@Zi:n
auburn	`o:b@n
auction	`OkS@n
audacious	o:`d{IS@s
audible	`o:d@b@l
audience	`o:di:@ns
audio	`o:di:@}
audit	`o:d@t
audition	o:`dIS@n
Aug.	`o:g@st
August	`o:g@st
august	o:`g6st
aunt	6:nt
aura	`o:r\@
auspicious	o:`spIS@s
austere	Os`tI@
australia	@str\{Ili:@
Australia	@str\{Ili:@
Australian	@st`r\{Ilj@n
authentic	o:`TentIk
author	`o:T@
authorise	`o:T@r\Aez
authority	o:`TOr\@ti:
autobiography	o:t@bAe`Ogr\@fi:
autograph	`o:t@gr\{f
automatic	o:t@`m{tIk
automobile	`o:t@m@bi:l
autonomous	o:`tOn@m@s
autopsy	`o:tOpsi:
autumn	`o:t@m
auxiliary	Og`zIlj@r\i:
avail	@`v{Il
available	@`v{Il@b@l
avalanche	`{v@l{nS
Ave	`{v@nj}:
avenge	@`vendZ
avenue	`{v@nj}:
average	`{vr\IdZ
averse	@`v3:s
aversion	@`v3:Z@n
avert	@`v3:t
aviation	{Ivi:`{IS@n
avid	`{v@d
avocado	{v@`k6:d@}
avoid	@`voId
await	@`w{It
awake	@`w{Ik
awaken	@`w{Ik@n
award	@`wo:d
aware	@`we:
away	@`w{I
awe	o:
awful	`o:f@l
awhile	@`wAel
awkward	`o:kw@d
awning	`o:nIN
axe	{ks
axis	`{ks@s
axle	`{ks@l
B	bi:
b	bi:
babble	`b{b@l
baby	`b{Ibi:
babysit	`b{Ibi:sIt
bachelor	`b{tS@l@
back	b{k
backbone	`b{kb@}n
backdate	`b{kd{It
backfire	b{k`fAe@
background	`b{kgr\{Ond
backing	`b{kIN
backlog	`b{klOg
backside	b{k`sAed
backstop	`b{kstOp
backstroke	`b{kstr\@}k
backup	`b{k6p
backward	`b{kw@d
backwards	`b{kw@dz
backyard	b{k`j6:d
bacon	`b{Ik@n
bacteria	b{k`tI@r\i:@
bad	b{d
bade	b{Id
badge	b{dZ
badger	`b{dZ@
badly	b{dli:
baffle	`b{f@l
bag	b{g
baggage	`b{gIdZ
Bahasa	b@h6:s@
bail	b{Il
bait	b{It
bake	b{Ik
balance	`b{l@ns
balanced	`b{l@nst
balcony	`b{lk@ni:
bald	bo:ld
bale	b{Il
ballast	`b{l@st
ballet	`b{l{I
ballot	`b{l@t
balmy	`b6:mi:
bamboozle	b{m`b}:z@l
ban	b{n
band	b{nd
bandaid	`b{nd{Id
bandicoot	`b{ndi:k}:t
bandit	`b{nd@t
bang	b{N
banish	b{nIS
banjo	`b{ndZ@}
bank	b{Nk
bankrupt	`b{Nkr\6pt
banksia	`b{Nksi:@
banner	`b{n@
banquet	`b{Nkw@t
bant	b{nt
baptism	`b{ptIz@m
bar	b6:
barb	b6:b
barbarian	b6:`be:r\i:@n
barbecue	`b6:b@kj}:
barber	`b6:b@
barbiturate	b6:`bItSUr\@t
bare	be:
barely	`be:li:
bargain	`b6:g@n
barge	b6:dZ
baritone	`b{r\@t@}n
bark	b6:k
barn	b6:n
barometer	b@`r\Om@t@
barrack	`b{r\@k
barracks	`b{r\@ks
barrage	`b{r\6:Z
barrel	`b{r\@l
barren	`b{r\@n
barrier	`b{r\i:@
barrister	`b{r\@st@
barrow	`b{r\@}
base	b{Is
baseball	`b{Isbo:l
basement	`b{Ism@nt
bash	b{S
bashful	`b{SfUl
basic	`b{IsIk
basin	`b{Is@n
basis	`b{Is@s
bask	b6:sk
basket	`b6:sk@t
basketball	`b6:sk@tbo:l
bass	b{Is
bassinet	b{s@net
bassinette	b{s@`net
bastard	`b6:st@d
bat	b{t
batch	b{tS
bath	b6:T
bathe	b{ID
bathers	`b{ID@z
bathroom	`b6:Tr\}:m
baths	b6:Dz
baton	`b{t@n
battalion	b@`t{lj@n
batten	`b{t@n
batter	`b{t@
battle	`b{t@l
baulk	bo:k
bawdy	`bo:di:
bawl	bo:l
bay	b{I
bayonet	`b{I@net
bazooka	b@z}:k@
BBQ	`b6:b@kj}:
BC	bi:`si:
be	bi:
beach	bi:tS
beacon	`bi:k@n
bead	bi:d
beak	bi:k
beam	bi:m
bean	bi:n
bear	be:
beard	bI@d
bearing	`be:r\IN
beast	bi:st
beat	bi:t
beaut	bj}:t
beautician	bj}:`tIS@n
beautiful	`bj}:t@f@l
beauty	`bj}:ti:
became	b@`k{Im
because	bi:`ko:z
beckon	`bek@n
become	b@`k6m
becoming	b@`k6mIN
bed	bed
bedding	`bedIN
bedraggled	b@`dr\{g@ld
bedridden	`bedr\Id@n
bedroom	`bedr\}:m
bee	bi:
beef	bi:f
been	bi:n
beer	bI@
before	b@`fo:
befriend	b@`fr\end
beg	beg
began	b@`g{n
begin	b@`gIn
beginner	b@`gIn@
beginning	b@gInIN
begrudge	b@`gr\6dZ
begun	b@`g6n
behalf	b@`h6:f
behave	b@`h{Iv
behind	b@`hAend
beige	b{IZ
being	`bi:IN
belated	b@`l{It@d
belch	beltS
belief	b@`li:f
believe	b@`li:v
belittle	b@`lIt@l
bell	bel
belligerent	b@`lIdZ@r\@nt
bellow	`bel@}
belly	`beli:
bellybutton	`beli:b6t@n
belong	b@`lON
belongings	b@`lONINz
beloved	b@`l6v@d
below	b@`l@}
belt	belt
Ben	ben
bench	bentS
bend	bend
beneath	b@`ni:T
benefactor	`ben@f{kt@
beneficial	ben@`fIS@l
beneficiary	ben@`fIS@r\i:
benefit	`ben@f@t
benevolent	b@`nev@l@nt
benign	b@`nAen
bent	bent
bequeath	b@`kwi:D
bereaved	b@`r\i:vd
bereft	b@`r\eft
beret	`ber\{I
berry	`ber\i:
berserk	b@`z3:k
berth	b3:T
beside	b@`sAed
besides	b@`sAedz
besiege	b@`si:dZ
best	best
bet	bet
betray	b@`tr\{I
bets	bets
better	`bet@
between	b@`twi:n
beverage	`bevr\IdZ
beware	b@`we:
bewildered	b@`wIld@d
bewitch	b@`wItS
beyond	b@`jOnd
biannual	bAe`{nj}:@l
bias	`bAe@s
bib	bIb
Bible	`bAeb@l
bibliography	bIbli:`@gr\@fi:
bicentenary	bAesen`ti:n@r\i:
bicentennial	bAes@n`teni:@l
biceps	`bAeseps
bicker	`bIk@
bicycle	`bAesIk@l
bid	bId
bide	bAed
biennial	bAe`eni:@l
bifocals	bAe`f@}k@lz
big	bIg
bigamy	`bIg@mi:
biggie	`bIgi:
bight	bAet
bigot	`bIg@t
bike	bAek
bikini	b@`ki:ni:
bile	bAel
bilingual	bAe`lINgw@l
bilious	`bIlj@s
bill	bIl
Bill	bIl
billabong	`bIl@bON
billboard	`bIlbo:d
billet	`bIl@t
billiards	`bIlj@dz
billion	`bIlj@n
billow	`bIl@}
billy	`bIli:
bin	bIn
bind	bAend
bindi-eye	`bIndi:Ae
bingo	`bINg@}
binoculars	b@`nOkj@l@z
biodegradable	bAe@}d@`gr\{Id@b@l
biography	bAe`Ogr\@fi:
biologist	bAe`Ol@dZ@st
biopsy	`bAeOpsi:
bird	b3:d
biro	`bAer\@}
birth	b3:T
birthday	`b3:Td{I
biscuit	`bIsk@t
bisect	bAe`sekt
bisexual	bAe`sekS}:@l
bishop	`bIS@p
bistro	`bIstr\@}
bit	bIt
bitch	bItS
bite	bAet
bitter	`bIt@
bitumen	`bItS@m@n
bivouac	`bIv}:{k
bizarre	b@`z6:
blab	bl{b
black	bl{k
blackboard	`bl{kbo:d
blackhead	`bl{khed
blackmail	`bl{km{Il
blackout	`bl{k{Ot
blacksmith	`bl{ksmIT
bladder	`bl{d@
blade	bl{Id
blame	bl{Im
bland	bl{nd
blank	bl{Nk
blanket	`bl{Nk@t
blare	ble:
blaspheme	bl{s`fi:m
blast	bl6:st
blatant	`bl{It@nt
blaze	bl{Iz
blazer	`bl{Iz@
bleach	bli:tS
bleak	bli:k
bleary	`blI@r\i:
bleat	bli:t
bleed	bli:d
blemish	`blemIS
blend	blend
blender	`blend@
bless	bles
blessing	`blesIN
blew	bl}:
blight	blAet
blind	blAend
blindfold	`blAendf@}ld
blink	blINk
blinker	`blINk@
bliss	blIs
blister	`blIst@
blistering	`blIst@r\IN
blitz	blIts
blizzard	`blIz@d
bloated	`bl@}t@d
bloc	blOk
block	blOk
blockade	blO`k{Id
blockbuster	`blOkb6st@
bloke	bl@}k
blond	blOnd
blonde	blOnd
blood	bl6d
bloodbath	`bl6db6:T
bloodshed	`bl6dSed
bloodshot	`bl6dSOt
bloodstream	`bl6dstr\i:m
bloodthirsty	`bl6dT3:sti:
bloody	`bl6di:
bloody-minded	bl6di:`mAend@d
bloom	bl}:m
blossom	`blOs@m
blot	blOt
blouse	bl{Oz
blow	bl@}
blowout	`bl@}{Ot
blowtorch	`bl@}to:tS
blubber	`bl6b@
bludge	bl6dZ
bludgeon	`bl6dZ@n
blue	bl}:
blue-collar	`bl}:kOl@
bluebird	bl}:b3:d
bluebottle	`bl}:bOt@l
blueprint	`bl}:pr\Int
blues	bl}:z
bluff	bl6f
blunder	`bl6nd@
blunt	bl6nt
blur	bl3:
blurb	bl3:b
blurt	bl3:t
blush	bl6S
bluster	`bl6st@
BMX	bi:em`eks
board	bo:d
boarder	`bo:d@
boast	b@}st
boat	b@}t
bob	bOb
bobbin	`bOb@n
bodice	`bOd@s
body	`bOdi:
bodyguard	`bOdi:g6:d
bog	bOg
bogus	`b@}g@s
bogy	`b@}gi:
boil	boIl
boiler	`boIl@
boilersuit	`boIl@s}:t
boisterous	`boIstr\@s
bold	b@}ld
bolster	`b@}lst@
bolt	b@}lt
bomb	bOm
bombard	bOm`b6:d
bombshell	`bOmSel
bond	bOnd
bone	b@}n
bonfire	`bOnfAe@
bongo	`bONg@}
bonnet	`bOn@t
bonus	`b@}n@s
boob	b}:b
boobook	`b}:bUk
book	bUk
bookcase	`bUkk{Is
bookkeeping	`bUkki:pIN
bookmaker	`bUkm{Ik@
bookstall	`bUksto:l
bookworm	`bUkw3:m
boom	b}:m
boomer	`b}:m@
boomerang	`b}:m@r\{N
boon	b}:n
boor	bo:
boost	b}:st
boot	b}:t
booth	b}:D
boots	b}:ts
booty	`b}:ti:
booze	b}:z
border	`bo:d@
borderline	`bo:d@lAen
bore	bo:
born	bo:n
borne	bo:n
boronia	b@`r\@}ni:@
borough	`b6r\@
borrow	`bOr\@}
bosom	`bUz@m
boss	bOs
botanist	`bOt@n@st
botch	bOtS
both	b@}T
bother	`bOD@
bottle	`bOt@l
bottlebrush	`bOt@lbr\6S
bottleneck	`bOt@lnek
bottom	`bOt@m
bough	b{O
bought	bo:t
boulder	`b@}ld@
boulevard	`b}:l@v6:d
bounce	b{Ons
bouncing	`b{OnsIN
bouncy	`b{Onsi:
bound	b{Ond
boundary	`b{Ondr\i:
bounty	`b{Onti:
bouquet	b}:`k{I
bourgeois	`bU@Zw6:
bout	b{Ot
boutique	b}:`ti:k
bow	b@}
bowel	`b{O@l
bowerbird	`b{O@b3:d
bowl	b@}l
bowling	`b@}lIN
bowls	b@}lz
bowser	`b{Oz@
box	bOks
boxer	`bOks@
boy	boI
boycott	`boIkOt
Boyd	boId
boyfriend	`boIfr\end
bra	br\6:
brace	br\{Is
bracelet	`br\{Isl@t
bracken	`br\{k@n
bracket	`br\{k@t
brag	br\{g
braid	br\{Id
braille	br\{Il
brain	br\{In
brainstorm	`br\{Insto:m
brainwash	`br\{InwOS
brainwave	`br\{Inw{Iv
braise	br\{Iz
brake	br\{Ik
bran	br\{n
branch	br\{ntS
brand	br\{nd
brash	br\{S
brass	br\6:s
brassiere	`br\{zi:@
brat	br\{t
bravado	br\@`v6:d@}
brave	br\{Iv
brawl	br\o:l
brawn	br\o:n
brazen	`br\{Iz@n
breach	br\i:tS
bread	br\ed
bread-and-butter	br\ed@n`b6t@
breadline	`br\edlAen
breadth	br\edT
breadwinner	`br\edwIn@
break	br\{Ik
break-in	`br\{IkIn
breakable	`br\{Ik@b@l
breakdown	`br\{Ikd{On
breakfast	`br\ekf@st
breakthrough	`br\{IkTr\}:
bream	br\Im
breast	br\est
breaststroke	`br\eststr\@}k
breath	br\eT
breathalyser	`br\eT@lAez@
breathe	br\i:D
breathtaking	`br\eTt{IkIN
breed	br\i:d
breeze	br\i:z
breezy	`br\i:zi:
brevity	`br\ev@ti:
brew	br\}:
brewery	`br\}:@r\i:
bribe	br\Aeb
brick	br\Ik
brick-veneer	br\Ikv@`nI@
brickie	`br\Iki:
bricklayer	`br\Ikl{I@
bride	br\Aed
bridegroom	`br\Aedgr\}:m
bridesmaid	`br\Aedzm{Id
bridge	br\IdZ
bridle	`br\Aed@l
brief	br\i:f
briefcase	`br\i:fk{Is
bright	br\Aet
brilliant	`br\Ilj@nt
brim	br\Im
brine	br\Aen
bring	br\IN
brink	br\INk
brisk	br\Isk
bristle	`br\Is@l
brittle	`br\It@l
broach	br\@}tS
broad	br\o:d
broad-minded	br\o:d`mAend@d
broadcast	`br\o:dk6:st
broccoli	`br\Ok@li:
brochure	`br\@}S@
broke	br\@}k
broken	`br\@}k@n
broker	`br\@}k@
brolga	`br\Olg@
brolly	`br\Oli:
bronchitis	br\ON`kAet@s
bronze	br\Onz
brooch	br\@}tS
brood	br\}:d
broom	br\}:m
bros.	`br\6D@z
broth	br\OT
brothel	`br\OT@l
brother	`br\6D@
brother-in-law	`br\6D@r\Inlo:
brought	br\o:t
brow	br\{O
browbeat	`br\{Obi:t
brown	br\{On
browse	br\{Oz
bruise	br\}:z
brumby	`br\6mbi:
brunch	br\6ntS
brunette	br\}:`net
brunt	br\6nt
brush	br\6S
brutal	`br\}:t@l
brute	br\}:t
bubble	`b6b@l
bubbler	`b6bl@
buck	b6k
bucket	`b6k@t
buckle	`b6k@l
bucktooth	b6k`t}:T
bud	b6d
Buddhism	`bUdIz@m
buddy	`b6di:
budge	b6dZ
budgerigar	`b6dZ@r\i:g6:
budget	`b6dZ@t
budgie	`b6dZi:
buff	b6f
buffer	`b6f@
buffet	`b6f{I
buffoon	b@`f}:n
bug	b6g
bugbear	`b6gbe:
bugger	`b6g@
bugle	`bj}:g@l
build	bIld
building	`bIldIN
bulb	b6lb
bulge	b6ldZ
bulk	b6lk
bull	bUl
bullbar	`bUlb6:
bulldog	bUldOg
bulldozer	`bUld@}z@
bullet	`bUl@t
bulletin	`bUl@t@n
bullion	`bUlj@n
bullock	`bUl@k
bullseye	`bUlzAe
bullshit	`bUlSIt
bully	`bUli:
bum	b6m
bumble	`b6mb@l
bump	b6mp
bumper	`b6mp@
bun	b6n
bunch	b6ntS
bundle	`b6nd@l
bundy	`b6ndi:
bung	b6N
bungalow	`b6Ng@l@}
bungle	`b6Ng@l
bunion	`b6nj@n
bunk	b6Nk
bunker	`b6Nk@
bunny	`b6ni:
bunyip	`b6nj@p
buoy	boI
buoyant	`boI@nt
burble	`b3:b@l
burden	`b3:d@n
bureau	`bj}:r\@}
bureaucracy	bj}:`r\Okr\@si:
bureaucrat	`bj}:r\@kr\{t
burglar	`b3:gl@
burial	`ber\i:@l
burl	b3:l
burly	`b3:li:
burn	b3:n
burnish	`b3:nIS
burp	b3:p
burr	b3:
burrow	`b6r\@}
bursar	`b3:s@
bursary	`b3:s@r\i:
burst	b3:st
bury	`ber\i:
bus	b6s
bush	bUS
bushed	bUSt
bushfire	`bUSfAe@
