'em	@ m
Algeria	' { l dZ - ' i@ r\ - i@
Algerian	' { l dZ - ' i@ r\ - i@ n
Algerians	' { l dZ - ' i@ r\ - i@ n z
Ali	' { l - i:
Alicante	' { l - I k - ' { n t - i:
Alice	' { l - I s
Alison	' { l - I s n
All right	' o: l - ' r\ Ae t
Allah	' { l - @
Allahabad	' { l - @ h - @ b - ' 6: d
Allan	' { l - @ n
Allday	' o: l d - ' {I
Allen	' { l - @ n
Allianz	@ l - ' Ae - { n z
Allis	' { l - @ s
Allison	' { l - I s - O n
Alloa	' { l - @} - @
Alma Mater	' { l m - @ - ' m 6: t - @ r\
Alma Maters	' { l m - @ - ' m 6: t - @ z
Alma-Ata	' { l m - @ - ' 6: t - @
Almeria	' { l m - @ r\ - ' i@
Alnwick	' { n - I k
Alright	' o: l r\ - ' Ae t
Alsatian	' { l s - ' {I S - @ n
Alsatians	' { l s - ' {I S - @ n z
Altamont	' { l t - @ m - O n t
Alton	' o: l t - @ n
Altrincham	' o: l t - r\ I N - @ m
Alvarez	{ l v - ' { r\ - e z
Alvechurch	' o: l v tS - @@ tS
Alzheimer	' { l t - z Ae m - @ r\
Alzheimers	' { l t - z Ae m - @ r\ z
Amanda	' @ m - ' { n d - @
Amazon	' { m - @ z - @ n
Amazons	' { m - @ z - @ n z
Amdahl	' { m d - { l
America	' @ m - ' e r\ - I k - @
American	' @ m - ' e r\ - I k - @ n
Americanism	' @ m - ' e r\ - I k - @ n - I z - @ m
Americanisms	' @ m - ' e r\ - I k - @ n - I z - @ m z
Americans	' @ m - ' e r\ - I k - @ n z
Ames	' {I m z
Amesbury	' {I m z - b @ r\ - i:
Amex	' { m - ' e k s
Amharic	' { m h - ' { r\ - I k
Amherst	' { m h - @@ s t
Amiens	' { m - i@ n z
Amman	@ m - ' { n
Ammanford	' { m - @ n f - @ d
Amoco	' { m - @} k - @}
Amos	' {I m - @ s
Amsterdam	' { m s - t @ d - ' { m
Amy	' {I m - i:
Anacomp	' { n - @ k - O m p
Anastasia	' { n - { s - ' t {I s - I - @
Anatoli	{ n - @ t - ' @} l - i:
Ancona	' { n k - ' @} n - @
Andean	' { n d - I - @ n
Andorra	' { n d - ' o: r\ - @
Andorran	' { n d - ' o: r\ - @ n
Andorrans	' { n d - ' o: r\ - @ n z
Andover	' { n d - @} v - @ r\
Andre	' 6: n d - r\ {I
Andrea	' 6: n d - r\ I - @
Andreas	{ n d - ' r\ {I - @ s
Andres	' { n d - r\ e z
Andrew	' { n d - r\ }:
Andropov	{ n d - ' r\ O p - O v
Andy	' { n d - i:
Angela	' { n dZ - @ l - @
Angelenos	' { n dZ - I l - ' i: n - @} s
Angers	' { n Z - ' e@ z
Angie	' { n dZ - i:
Anglican	' { N g - l I k - @ n
Anglicans	' { N g - l I k - @ n z
Anglo-	' { N g - l @}
Anglo-Catholic	' { N g - l @} - ' k { T - l I k
Anglo-Catholics	' { N g - l @} - ' k { T - l I k s
Anglo-Indian	' { N g - l @} - ' I n d - i@ n
Anglo-Indians	' { N g - l @} - ' I n d - i@ n z
Anglo-Saxon	' { N g - l @} - ' s { k - s @ n
Anglo-Saxons	' { N g - l @} - ' s { k - s @ n z
Anglomania	' { N g - l @} m - ' {I n - i@
Anglophil	' { N g - l @} f - I l
Anglophile	' { N g - l @} f - Ae l
Anglophiles	' { N g - l @} f - Ae l z
Anglophils	' { N g - l @} f - I l z
Anglophobe	' { N g - l @} f - @} b
Anglophobes	' { N g - l @} f - @} b z
Anglophobia	' { N g - l @} f - ' @} b - i@
Angola	' { N g - ' @} l - @
Angolan	' { N g - ' @} l - @ n
Angolans	' { N g - ' @} l - @ n z
Anguilla	' { N g - ' w I l - @
Anguillan	' { N g - ' w I l - @ n
Anguillans	' { N g - ' w I l - @ n z
Angus	' { N g - @ s
Anita	' @ n - ' i: t - @
Ankara	' { N k - @ r\ - @
Ann	' { n
Annabel	' { n - @ b - e l
Annan	' { n - @ n
Anne	' { n
Annfield	' { n f - i: l d
Annfield Plain	' { n f - i: l d - ' p l {I n
Annie	' { n - i:
Anno Domini	' { n - @} - ' d O m - I n - Ae
Annualized	' { n j - }: l - Ae z d
Anon	' @ n - ' O n
Anshan	' { n S - @ n
Antar	' { n t - 6:
Antarctica	@ n t - ' 6: k - t I k - @
Anthea	' { n T - i@
Anthony	' { n t - @ n - i:
Antigua	' { n t - ' i: g - @
Antiguan	' { n t - ' i: g - @ n
Antiguans	' { n t - ' i: g - @ n z
Antoine	' { n t - w O n
Anton	' { n t - O n
Antonin	' { n t - @ n - I n
Antonio	{ n t - ' @} n j - @}
Antony	' { n t - @ n - i:
Antrim	' { n t - r\ I m
Antwerp	' { n t - w @@ p
Aoun	' { - }: n
Apeldoorn	' { p l d - o: n
Apocrypha	' @ p - ' O k - r\ I f - @
Apr	' {I p - r\ I l
April	' {I p - r\ @ l
Aprils	' {I p - r\ @ l z
Aquarius	' @ k - ' w e@ r\ - i@ s
Aquino	@ k - ' i: n - @}
Arab	' { r\ - @ b
Arabia	@ r\ - ' {I b - i@
Arabian	' @ r\ - ' {I b - i@ n
Arabians	' @ r\ - ' {I b - i@ n z
Arabic	' { r\ - @ b - I k
Arabist	' { r\ - @ b - I s t
Arabists	' { r\ - @ b - I s t s
Arabs	' { r\ - @ b z
Arbroath	' 6: b - ' r\ @} T
Arcadian	' 6: k - ' {I d - i@ n
Arcadians	' 6: k - ' {I d - i@ n z
Arcata	6: k - ' { t - @
Archie	' 6: tS - i:
Ardrossan	' 6: d - ' r\ O s - @ n
Argentina	' 6: dZ - @ n t - ' i: n - @
Argentine	' 6: dZ - @ n t - Ae n
Argentinian	' 6: dZ - @ n t - ' i: n - i@ n
Argentinians	' 6: dZ - @ n t - ' i: n - i@ n z
Argonaut	' 6: g - @ n - o: t
Argonauts	' 6: g - @ n - o: t s
Argus	' 6: g - @ s
Argus-eyed	' 6: g - @ s - Ae d
Arguses	' 6: g - @ s - I z
Ariel	' {I r\ - I - e l
Aries	' e@ r\ - i: z
Ariz	' { r\ - I z
Arizona	' { r\ - I z - ' @} n - @
Arkansas	' 6: k - @ n s - o:
Armadale	' 6: m - @ d - {I l
Armageddon	' 6: m - @ g - ' e d n
Armagh	' 6: m - ' 6:
Armenia	6: m - ' i: n - I - @
Armenian	' 6: m - I n - i@ n
Armenians	6: m - ' i: n - I - @ n z
Arnhem	' 6: n - @ m
Arnold	' 6: n l d
Arrington	' { r\ - I N t - @ n
Arsenio	6: s - ' i: n - I - @}
Art	' 6: t
Arthur	' 6: T - @ r\
Artie	' 6: t - i:
Aryan	' e@ r\ - i@ n
Aryans	' e@ r\ - i@ n z
Asahi	' { s - { h - i:
Ascot	' { s - k @ t
Ashbourne	' { S - b o: n
Ashby	' { S - b i:
Ashby Woulds	' { S - b I - ' w @} l d z
Ashby de la Zouch	' { S - b I - d @ - l @ - ' z }: S
Ashe	' { S
Ashford	' { S - f @ d
Ashington	' { S - I N t - @ n
Ashton-in-Makerfield	' { S - t @ n - I n - ' m {I k - @ f - i: l d
Ashton-under-Lyne	' { S - t @ n - 6 n d - @ - ' l Ae n
Asia	' {I S - i@
Asian	' {I S - @ n
Asians	' {I S - @ n z
Asiatic	' {I S - I - ' { t - I k
Asiatics	' {I S - I - ' { t - I k s
Askern	' { s - k @ n
Aspull	' { s - p @ l
Aston	' { s - t @ n
Athelney	' { T - @ l n - {I
Athenian	' @ T - ' i: n - i@ n
Athenians	' @ T - ' i: n - i@ n z
Athens	' { T - I n z
Atherstone	' { T - @ s - t @ n
Athlone	' { T - ' l @} n
Atlanta	' { t - ' l { n t - @
Atlantic	' @ t - ' l { n t - I k
Attic	' { t - I k
Auckland	' o: k - l @ n d
Audley	' o: d - l i:
Audrey	' o: d - r\ i:
Aug	' o: g - @ s t
Augsburg	' au g - z b @@ g
August	' o: g - @ s t
Augustan	' o: g - ' 6 s - t @ n
Augusts	' o: g - @ s t s
Auschwitz	' au S - v I t s
Aussie	' O z - i:
Aussies	' O z - I z
Australia	' O s - ' t r\ {I l - i@
Australian	' O s - ' t r\ {I l - i@ n
Australians	' O s - ' t r\ {I l - i@ n z
Austria	' O s - t r\ i@
Austrian	' O s - t r\ i@ n
Austrians	' O s - t r\ i@ n z
Ave	' { v
Aveley	' {I v - l i:
Avery	' {I v - r\ i:
Avianca	{ v - I - ' { n k - @
Avignon	' { v - I N j - O n
Avis	' {I v - I s
Aviv	@ v - ' i: v
Avon	' {I v - @ n
Awadi	@ w - ' { d - i:
Axel	' { k - s @ l
Ayatullah	' Ae - @ t - ' 6 l - @
Ayckbourn	' {I k - b o: n
Aycliffe	' {I k - l I f
Aylesbury	' {I l z - b @ r\ - i:
Aylesford	' {I l z f - @ d
Ayr	' e@ r\
Azerbaijan	' { z - @ b - @ dZ - ' { n
Azerbaijani	' { z - @@ b - @ dZ - ' { n - i:
Azerbaijanis	' { z - @@ b - @ dZ - ' { n - i: z
Aziz	@ z - ' i: z
Azoff	' { z - O f
B	' b i:
B Ed	' b i: - ' e d
B's	' b i: z
BA	' b i: - ' {I
BBC	' b i: b - ' i: s - ' i:
BC	' b i: s - ' i:
BMA	' b i: - ' e m - ' {I
BMus	' b i: m - ' 6 z
BST	' b i: - ' e s - ' t i:
BSc	' b i: - ' e s - ' s i:
BVM	' b i: v - ' i: - ' e m
Babs	' b { b z
Bache	' b { k
Backworth	' b { k - w @ T
Bacup	' b {I k - @ p
Badajoz	' b { d - @ h - O z
Badalona	' b { d - @ l - ' @} n - @
Baghdad	' b { g - ' d { d
Bahamas	' b @ h - ' 6: m - @ z
Bahamian	' b @ h - ' 6: m - i@ n
Bahamians	' b @ h - ' 6: m - i@ n z
Bahasa	' b @ h - ' 6: z - @
Bahrain	' b 6: r\ - ' {I n
Bahraini	' b 6: r\ - ' {I n - i:
Bahrainis	' b 6: r\ - ' {I n - I z
Bailey	' b {I l - i:
Baku	' b { k - }:
Baldock	' b o: l d - O k
Baltimore	' b o: l t - I m - o: r\
Banbury	' b { n b - @ r\ - i:
BancOklahoma	b { n k - ' @} k - l @ h - ' @} m - @
Bancorp	' b { n k - o: p
Bandung	' b { n d - @ N
Bangalore	' b { N g - @ l - ' o: r\
Bangkok	' b { N k - ' O k
Bangladesh	' b { N g - l @ d - ' e S
Bangladeshi	' b { N g - l @ d - ' e S - i:
Bangladeshis	' b { N g - l @ d - ' e S - I z
Bangor	' b { N g - @ r\
Bankshares	' b { n k - S e@ z
Bannockburn	' b { n - @ k - b @@ n
Bantry	' b { n t - r\ i:
Bantu	' b { n t - ' }:
Bantus	' b { n t - ' }: z
Baptist	' b { p - t I s t
Baptists	' b { p - t I s t s
Baracaldo	' b { r\ - @ k - ' { l d - @}
Barbadian	' b 6: b - ' {I d - i@ n
Barbadians	' b 6: b - ' {I d - i@ n z
Barbados	' b 6: b - ' {I d - @ s
Barbara	' b 6: b - r\ @
Barcelona	' b 6: s - I l - ' @} n - @
Barclays	' b 6: k - l I z
Bargoed	' b 6: g - ' @} - I d
Bari	' b 6: r\ - i:
Barking	' b 6: k - I N
Barnard Castle	' b 6: n - @ d - ' k 6: s l
Barnet	' b 6: n - I t
Barnoldswick	' b 6: n - @ l d - z w I k
Barnsley	' b 6: n z - l i:
Barnstaple	' b 6: n s - t @ p l
Barr	' b 6:
Barranquilla	' b { r\ - @ n k - ' i: - @
Barre	' b 6: r\
Barrett	' b { r\ - I t
Barrhead	' b 6: h - e d
Barrow-in-Furness	' b { r\ - @} - I n - ' f @@ n - I s
Barry	' b { r\ - i:
Bart	' b 6: t
Bartholomew	' b 6: T - ' O l - @ m j - }:
Bartlett	' b 6: t - l e t
Barton-upon-Humber	' b 6: t - @ n - @ p - O n - ' h 6 m b - @ r\
Basel	' b 6: z l
Basil	' b { z l
Basildon	' b { z - I l d - @ n
Basinger	' b { s - I n dZ - @ r\
Basingstoke	' b {I z - i: N s - t @} k
Baskerville	' b { s - k @ v - I l
Baskervilles	' b { s - k @ v - I l z
Bass	' b { s
Bastille	b { s - ' t i: l
Bath	' b 6: T
Bath-chair	' b 6: T - tS e@ r\
Bath-chairs	' b 6: T - tS e@ z
Bathgate	' b 6: T - g {I t
Batley	' b { t - l i:
Beaconsfield	' b e k - @ n z f - i: l d
Bearsden	' b e@ z - d @ n
Beatrice	' b i@ t - r\ I s
Beaujolais	' b @} Z - @ l - {I
Beaumaris	' b @} m - ' { r\ - I s
Bebear	' b i: b - e@ r\
Bebington	' b e b - I N t - @ n
Beccles	' b e k l z
Beckett	' b e k - I t
Beddau	' b e D - au
Beddoes	' b e d - @} s
Bedford	' b e d f - @ d
Bedfordshire	' b e d f - @ d S - @ r\
Bedlington	' b e d - l I N t - @ n
Bedouin	' b e d - U - I n
Beduin	' b e d - U - I n
Bedwas	' b e d - w O z
Beebes	' b i: b s
Beethoven	' b {I t - h @} v - @ n
Beijing	' b {I Z - ' I N
Beirut	' b {I r\ - ' }: t
Beith	' b i: T
Belem	' b e l - @ m
Belfast	' b e l f - 6: s t
Belgian	' b e l dZ - @ n
Belgians	' b e l dZ - @ n z
Belgium	' b e l dZ - @ m
Belgrade	' b e l g - ' r\ {I d
Belinda	' b @ l - ' I n d - @
BellSouth	' b e l s - ' au T
Bella	' b e l - @
Belle	' b e l
Bellshill	' b e l z h - I l
Belo Horizonte	' b e l - @} - h O r\ - I z - ' O n t - i:
Belorussia	' b e l - @ r\ - ' 6 S - I - @
Belper	' b e l p - @ r\
Ben	' b e n
Benedictine	' b e n - I d - ' I k - t I n
Benedictines	' b e n - I d - ' I k - t I n z
Bengali	' b e N g - ' o: l - i:
Bengalis	' b e N g - ' o: l - I z
Benin	' b e n - ' I n
Beninese	' b e n - I n - ' i: z
Benjamin	' b e n dZ - @ m - I n
Bennett	' b e n - I t
Benny	' b e n - i:
Benson	' b e n s - @ n
Benzedrine	' b e n z - @ d - r\ i: n
Benzedrines	' b e n z - @ d - r\ i: n z
Beograd	' b {I - @} g - r\ { d
Bergamo	' b @@ g - ' 6: m - @}
Bergen	' b @@ g - @ n
Berkhamsted	' b @@ k - @ m s - t I d
Berkshire	' b 6: k - S @ r\
Berlin	' b @@ l - ' I n
Bermuda	' b @ m j - ' }: d - @
Bermudan	' b @ m j - ' }: d - @ n
Bermudans	' b @ m j - ' }: d - @ n z
Bern	' b @@ n
Bernard	' b @@ n - @ d
Bernie	' b @@ n - i:
Bernstein	' b @@ n s - t i: n
Bert	' b @@ t
Bertha	' b @@ T - @
Bertie	' b @@ t - i:
Berwick-upon-Tweed	' b e r\ - I k - @ p - O n - ' t w i: d
Beryl	' b e r\ - @ l
Bess	' b e s
Bessie	' b e s - i:
Bethesda	b @ T - ' e s - d @
Bethlehem	' b e T - l I h - e m
Bethune	' b e T - ' }: n
Betsy	' b e t - s i:
Betty	' b e t - i:
Beverley	' b e v - @ l - i:
Bewdley	' b j }: d - l i:
Bexhill	' b e k - ' s h I l
Bexley	' b e k - s l i:
Beyer	' b {I - @ r\
Bhopal	b @} p - ' { l
Bhutan	' b }: t - ' 6: n
Bhutani	' b }: t - ' 6: n - i:
Bhutanis	' b }: t - ' 6: n - I z
Bhutto	' b }: t - @}
Bianco	b I - ' { n k - @}
Bible	' b Ae b l
Bibles	' b Ae b l z
Bicester	' b I s - t @ r\
Biddulph	' b I d - 6 l f
Bideford	' b I d - I f - @ d
Bielefeld	' b i: l - @ f - e l t
Biggleswade	' b I g l z - w {I d
Bikkembergs	' b I k - @ m b - @@ g s
Bilbao	' b I l b - ' 6: - @}
Bill	' b I l
Billericay	' b I l - @ r\ - ' I k - i:
Billington	' b I l - I N t - @ n
Billy	' b I l - i:
Bingley	' b I N - l i:
BioSciences	' b Ae - @} - ' s Ae - @ n s - @ s
Birkenhead	' b @@ k - @ n h - e d
Birstall	' b @@ s - t o: l
Birtley	' b @@ t - l i:
Bishop Auckland	' b I S - @ p - ' o: k - l @ n d
Bishop's Cleeve	' b I S - @ p s - ' k l i: v
Bishop's Stortford	' b I S - @ p - ' s t o: f - @ d
Bishopbriggs	' b I S - @ p - b r\ I g z
Blackburn	' b l { k - b @@ n
Blackhall	' b l { k - h o: l
Blackpool	' b l { k - p }: l
Blackshirt	' b l { k - S @@ t
Blackshirts	' b l { k - S @@ t s
Blackwood	' b l { k - w U d
Blaenau-Ffestiniog	' b l {I n - @ - f e s - ' t I n - I - O g
Blaenavon	' b l {I n - ' { v - @ n
Blaengwrach	' b l {I N g - ' r\ 6: k
Blaina	' b l Ae n - @
Blairgowrie	' b l e@ g - ' au r\ - i:
Blantyre	' b l { n t - ' {I - @ r\
Bldg	' b I l d - I N
Bldgs	' b I l d - I N z
Bletchley	' b l e tS - l i:
Blidworth	' b l I d - w @ T
Blighty	' b l Ae t - i:
Blumenfeld	' b l }: m - @ n f - e l d
Blvd	' b }: l - @ v - 6: d
Blyth	' b l Ae
Bo'ness	' b @} n - ' e s
Bob	' b O b
Bobby	' b O b - i:
Boche	' b O S
Bochum	' b O k - @ m
Bodmin	' b O d - m I n
Boer	' b @} - @ r\
Boers	' b @} - @ z
Bofors	' b @} f - @ - @ s
Bogart	' b @} g - 6: t
Bognor	' b O g - n @ r\
Bognor Regis	' b O g - n @ - ' r\ i: dZ - I s
Bogota	' b O g - @ t - ' 6:
Boise	' b oI s - i:
Boldon	' b O l d - @ n
Bolivia	' b @ l - ' I v - i@
Bolivian	' b @ l - ' I v - i@ n
Bolivians	' b @ l - ' I v - i@ n z
Bollington	' b O l - I N t - @ n
Bologna	' b @ l - ' O n j - @
Bolshevik	' b O l S - @ v - I k
Bolsheviks	' b O l S - @ v - I k s
Bolsover	' b O l s - @} v - @ r\
Bolton	' b @} l t - @ n
Bolton-le-Sands	' b @} l t - @ n - l I - ' s { n d z
Bolzano	' b O l z - ' 6: n - @}
Bombay	' b O m b - ' {I
Bonfante	' b O n f - 6: n t - i:
Bonn	' b O n
Bonnybridge	' b O n - I b - r\ I dZ
Bonnyrigg	' b O n - I r\ - I g
Bootle	' b }: t l
Bordeaux	' b o: d - ' @}
Borders	' b o: d - @ z
Bordon	' b o: d - @ n
Boren	' b o: r\ - e n
Boris	' b O r\ - I s
Boston	' b O s - t @ n
Botha	' b @} t - @
Botswana	' b O t - ' s w 6: n - @
Bottrop	' b O t - r\ @ p
Bourne	' b o: n
Bournemouth	' b o: n - m @ T
Bow Bells	' b @} - ' b e l z
Bowburn	' b @} b - @ n
Bowie	' b au - i:
Boxing Day	' b O k - s I N - d {I
Boxing Days	' b O k - s I N - d {I z
Boyer	' b oI - @ r\
Boyett	b oI - ' e t
Boyz	' b oI z
Bracknell	' b r\ { k - n @ l
Bradford	' b r\ { d f - @ d
Bradford-on-Avon	' b r\ { d f - @ d - O n - ' {I v - @ n
Bradstreet	' b r\ { d - ' s t r\ i: t
Brahmin	' b r\ 6: m - I n
Brahmins	' b r\ 6: m - I n z
Braintree	' b r\ {I n t - r\ i:
Branagh	' b r\ { n - @
Branderburgh	' b r\ { n d - @ b - @ r\ - @
Braniff	' b r\ { n - I f
Brasilia	' b r\ @ z - ' I l - i@
Bratislava	' b r\ { t - I s - ' l 6: v - @
Braunschweig	' b r\ o: n S - v {I g
Braunton	' b r\ o: n t - @ n
Brazil	' b r\ @ z - ' I l
Brazilian	' b r\ @ z - ' I l - i@ n
Brazilians	' b r\ @ z - ' I l - i@ n z
Breaston	' b r\ i: s - t @ n
Brecknock	' b r\ e k - n O k
Breda	' b r\ i: d - @
Breedsall	' b r\ i: d s - o: l
Bremen	' b r\ {I m - @ n
Bremerhaven	' b r\ {I m - @ h - 6: v - @ n
Bren	' b r\ e n
Bren-gun	' b r\ e n - g 6 n
Bren-guns	' b r\ e n - g 6 n z
Brenda	' b r\ e n d - @
Brens	' b r\ e n z
Brent	' b r\ e n t
Brentwood	' b r\ e n t - w U d
Brescia	' b r\ e S - i@
Brest	' b r\ e s t
Brezhnev	' b r\ e Z - n @ v
Brian	' b r\ Ae - @ n
Bricket Wood	' b r\ I k - I t - ' w U d
Bridgend	' b r\ I dZ - ' e n d
Bridget	' b r\ I dZ - I t
Bridgnorth	' b r\ I dZ - n o: T
Bridgwater	' b r\ I dZ - w o: t - @ r\
Bridlington	' b r\ I d - l I N t - @ n
Bridport	' b r\ I d p - o: t
Brig	' b r\ I g
Brigadier	' b r\ I g - @ d - ' i@ r\
Brigadiers	' b r\ I g - @ d - ' i@ z
Brigham	' b r\ I g - @ m
Brighouse	' b r\ I g h - au s
Brightlingsea	' b r\ Ae t - l I N s - i:
Brighton	' b r\ Ae t n
Brisbane	' b r\ I z - b @ n
Bristol	' b r\ I s t l
Brit	' b r\ I t
Britain	' b r\ I t n
Britannic	' b r\ I t - ' { n - I k
British	' b r\ I t - I S
Britisher	' b r\ I t - I S - @ r\
Britishers	' b r\ I t - I S - @ z
Briton	' b r\ I t n
Britons	' b r\ I t n z
Brits	' b r\ I t s
Brixham	' b r\ I k - s @ m
Brno	' b @@ n - @}
BroadBeach	' b r\ o: d - b i: tS
Broadway	' b r\ o: d - w {I
Brody	' b r\ @} d - i:
Bromley	' b r\ O m - l i:
Bromsgrove	' b r\ O m z - g r\ @} v
Bros	' b r\ O s
Broughton	' b r\ o: t n
Broxburn	' b r\ O k - s b @@ n
Bruce	' b r\ }: s
Bruges	' b r\ }: Z
Brunei	' b r\ }: n - Ae
Bruneian	' b r\ }: n - Ae - @ n
Bruneians	' b r\ }: n - Ae - @ n z
Bruno	' b r\ }: n - @}
Brunswick	' b r\ 6 n z - w I k
Brussels	' b r\ 6 s l z
Bryan	' b r\ Ae - @ n
Brzezinski	b r\ @ Z - ' I n s - k i:
Bt	' b 6: t
Bucarest	' b j }: k - @ r\ - ' e s t
Buchanan	b U k - ' { n - @ n
Bucharest	' b U k - @ r\ - e s t
Buchwald	' b U k - v { l d
Buckhaven	' b 6 k - h {I v n
Buckie	' b 6 k - i:
Buckingham	' b 6 k - I N - @ m
Buckinghamshire	' b 6 k - I N - @ m S - @ r\
Buckley	' b 6 k - l i:
Bucksburn	' b 6 k - s b @@ n
Budapest	' b j }: d - @ p - e s t
Buddhism	' b U d - I z - @ m
Buddhist	' b U d - I s t
Buddhists	' b U d - I s t s
Buenos	' b w {I n - @ s
Buenos Aires	' b w e n - @ s - ' {I - @ r\ - I z
Buffalo	' b 6 f - @ l - @}
Buffett	b }: f - ' {I
Buick	' b j }: - I k
Bulgaria	' b 6 l g - ' e@ r\ - i@
Bulgarian	' b 6 l g - ' e@ r\ - i@ n
Bulgarians	' b 6 l g - ' e@ r\ - i@ n z
Bulkington	' b 6 l k - I N t n
Bumiputra	' b U m - I p - ' U t - r\ @
Bundesbank	' b }: n d - @ s - ' b { n k
Bundestag	' b U n d - @ s - t { g
Bunsen	' b 6 n s n
Bunsens	' b 6 n s n z
Burberries	' b @@ b - @ r\ - I z
Burberry	' b @@ b - @ r\ - i:
Burger	' b @@ g - @@
Burgess	' b @@ dZ - I s
Burgos	' b @@ g - O s
Burgundy	' b @@ g - @ n d - i:
Burley	' b @@ l - i:
Burma	' b @@ m - @
Burmese	' b @@ m - ' i: z
Burnham-on-sea	' b @@ n - @ m - O n - ' s i:
Burnley	' b @@ n - l i:
Burntisland	' b @@ n t - ' Ae l - @ n d
Burntwood	' b @@ n t - w U d
