AIDS	' {I d z
composition	k @ m - p @ - ' z I - S @ n
comprehensive	' k O m - p r\ i: - ' h e n - s I v
concentration	' k O n - s e n - ' t r\ {I - S @ n
concerned	k @ n - 's 3: n d
conclusion	k O n - ' k l }: - Z @ n
confession	k @ n - ' f e s - S @ n
confrontation	' k O n - f r\ 6 n - 't {I - S @ n
confusion	k @ n - ' f j }: - Z @ n
congressional	 ' k O N - g r\ e s - S @ n - @ l
connection	k @ - ' n e k - S @ n
consciousness	' k O n - S @ s - n @ s
consensus	k @ n - ' s e n - s @ s
consequently	' k O n - s @ - ' k w e n t- l i:
considerably	k @ n - ' s I d - @ - r\ @ - b l i:
consistently	k @ n - ' s I s - t e n t - l i:
constantly	' k O n  - s t @ n t - l i:
constitute	' k O n  - s t I - tS }: t
constitutional	' k O n  - s t I - 't j }: - S @ n - @ l
constraint	k @ n - ' s t r\ {I n t
construction	k @ n  - ' s t r\ 6 k - S @ n
consumption	k @ n - ' s 6 m p - S @ n
continued	k @ n - ' t I n - j }: d
contractor	k @ n - ' t r\ { k - t @
contribution	' k O n - t r\ I  - 'b j }: - S @ n
contributor	 k @ n - ' t r\ I b - j }: - t @
controversial	' k O n - t r\ @ - ' v 3: - S @ l
conversion	k @ n - ' v 3: - S @ n
convinced	k @ n - ' v I n s t
cookie	' k U - k i:
cooperation	 k @} - ' O p - @ - ' r\ {I - S @ n
cooperative	 k @} - ' O p  - r\ {I - ' t I v
coordinator	 k @} - ' o: - d I - ' n {I - t @
corporate	' k o: - p @ - r\ {I t
correctly	k @ - ' r\ e k - t l i:
correlation	k @ - r\ @ - ' l {I - S @ n
correspondent	k O - r\ @  - ' s p O n - d e n t
corruption	k @ - ' r\ 6 p - S @ n
costly	' k O s - l i:
counselor	' k {O n - s { - l @
counterpart	' k {O n - t @ - p 6: t
county	' k {O n - t i:
courtroom	' k o: t - r\ }: m
coverage	' k 6 - v @ - r\ I dZ
creation	 k r\ i: - '{I - S @ n
creative	k r\ i: - '{I - t I v
creativity	' k r\ i: - '{I - t I v - @ - t i:
credibility	' k r\ e - d @ - b I - l @ - t i:
criminal	' k r\ I - m I - n @ l
criteria	 k r\ Ae - ' t e - r\ i: - @
criticism	' k r\ I - t I - s I z -@ m
criticize	' k r\ I - t I - s Ae z
crowded	' k r\ @} - d @ d
cultural	' k O l - tS @ - r\ @ l
curiosity	' k j }: - r\ i: - @ - s @ - t i:
currently	' k 6 - r\ @ n t - l i:
dancer	' d 6: n - s @
dangerous	' d {I n - dZ @ - r\ @ s
darkness	' d 6: k- n @ s
deem	' d i: m
deeply	' d i: - p l i:
defender	' d I - f e n - d @
defense	' d I - f e n s
definitely	' d e - f I - n Ae t - l i:
definition	' d e - f I - n I - S @ n
deliberately	d I - ' l I - b @ - r\ {I - t l i:
delivery	 d I - ' l I - v @ - r\ i:
democratic	' d e - m @ - ' k r\ { - t I k
demographic	' d e - m @ - ' g r\ { - f I k
denial	 d I - ' n Ae - @ l
density	' d e n - s @ - t i:
departure	 d I - ' p 6: - tS @
deploy	 d I  - ' p l oI 
depressed	 d I - 'p r\ e s t
designer	 d I - ' z Ae - n @
desperately	' d e s - p @ - r\ {I - t l i:
destruction	 d I  - ' s t r\ 6 k - S @ n
detailed	' d i: - t {I l d
developmental	 d I - ' v { l - @ p - m @ n - t @ l
diagnosis	' d Ae - @ g - n @} - s I s
differently	' d I - f @ - r\ @ n - t l i:
difficulty	' d I - f I - k O l - t i:
diplomatic	' d I p - l @ - m { - t I k
disabled	 d I - ' s {I - b I l d
disappointed	' d I s - @ - ' p oI n - t @ d
disappointment	' d I s - @ -'  p oI n t - m @ n t
discovery	 d I s - ' k 6 - v @ - r\ i:
discrimination	 d I s - ' k r\ I - m I - ' n {I - S @ n
discussion	' d I s - k 6 - S @ n
diversity	' d I - v 3: - s @ - t i:
dominant	' d O m -  @ - n @ n t
donation	 d @ - ' n {I - S @ n
doorway	' d o: - w {I
dramatically	 d r\ @ - ' m { -  t I k - l i:
driver	' d r\ Ae - v @
earnings	' 3: - n I N z
easily	' i: - z @ - l i:
eastern	' i: s - t @ n
ecological	' i: - k O - ' l O - dZ I - k @ l
economic	' i: - k @ - ' n O - m I k
economically	' i: - k @ - ' n O - m I k - l i:
economist	' i: - k O n - @ - m I s t
ecosystem	' i: - k @} - s I s - t @ m
editor	' e - d @ - t @
educate	' e d - j }: - k {I t
educational	' e d - j }: - ' k {I - S @ n - @ l
educator	' e d - j }: - k {I - t @
effectively	 e - ' f e k - t I v - l i:
effectiveness	 e - ' f e k - t I v - n @ s
efficiency	' i: - f I - S @ n - s i:
electric	 i: - ' l e k - t r\ I k
electrical	 i: - ' l e k - t r\ I - k @ l
electronics	 ' e -  l e k - ' t r\ O - n I k s
elephant	' e - l @ - f @ n t
embarrassed	e m - ' b { - r\ @ s t	 
emission	 e - ' m I - S @ n
emotional	 I - ' m @} - S @ n - @ l
emotionally	 I - ' m @} - S @ n - l i:
emphasize	' e m - f @ - s Ae z
employee	 e m - ' p l oI - i:
employer	 e m - ' p l oI - @
employment	 e m - ' p l oI - m @ n t
enact	@ n - ' { k t
endless	' e n d - l @ s
enforce	@ n - ' f o: s
enforcement	@ n - ' f o: s - m @ n t
enhance	@ n - ' h 6: n s
entertainment	@ n - t @ - ' t {I n - m @ n t
entirely	@ n - ' t Ae - @ - l i:
entity	' e n - t @ - t i:
environmental	@ n - ' v Ae - r\ @ n - m @ n - t @ l
envision	@ n - ' v I - Z @ n
equality	' i: - k w O l - @ - t i:
equally	' i: - k w @ - l i:
equation	 I k - ' k w {I - S @ n
equity	' e - k w @ - t i:
essentially	 I - ' s e n - S @ - l i:
esteem	' e  - s t i: m
estimated	' e s - t @ - ' m {I - t @ d
etc	' e k -s e t - @ -r@ 
ethical	 e - ' T I - k @ l
evaluation	 i: - ' v { - l j };  - ' {I - S @ n
evolve	 I - ' v O l v
excessive	@ k - ' s e s - s I v
excitement	@ k - ' s Ae t - m @ n t
exclusively	@ k s - ' k l }: - s I v - l i:
execution	' e k s - @ - ' k j }: - S @ n
exhibition	' e k s - @ - ' b I - S @ n
existence	 e k - ' s I s - t @ n s
expansion	@ k s - ' p { n - S @ n
expectation	e k - s p e k - ' t {I - S @ n
experienced	@ k - ' s p e: - r\ i: - @ n s t
experimental	@ k - ' s p e: - r\ @ - ' m e n - t @ l
expertise	' e k s- p 3: - t i: z
explanation	' e k s - p l @ - ' n {I - S @ n
explicit	 e k - ' s p l I - s I t
exploration	 ' e k  - s p l @ - ' r\ {I - S @ n
extended	@ k  - 's t e n - d @ d
extremely	@ k  - ' s t r\ m l i:
farmer	' f 6: - m @
faster	' f 6: s - t @
favor	' f {I - v @
favorable	' f {I v - r\ @ - b @ l
favorite	' f {I - v @ - r\ @ t
fewer	' f j }: - @
fiber	' f Ae - b @
fighter	' f Ae - t @
firmly	' f 3: - m l i:
fiscal	' f I s - k { l
fixed	' f Ae k s - @ t
flavor	' f l {I - v @
flexibility	' f l e k - s @ - b I - l @ - t i:
foreigner	' f O - \r I n - @
formerly	' f o: - m @ - l i:
fortunately	' f o: - t j }: - n {I - t l i:
founder	' f {O n - d @
frankly	' f r\ { N k - l i:
freely	' f r\ i: - l i:
frequently	' f r\ i:  - k w e n - t l i:
freshman	' f r\ e S - m @ n
frustration	' f r\ 6 s - t r\ {I - S @ n
fully	' f U l - i:
furthermore	' f 3: - T @ - m o:
gasoline	' g { s - @} - l i: n
generally	' dZ e n - r\ @ - l i:
genetic	 dZ e - ' n e - t I k
gently	' dZ e n t - l i:
gifted	' g I f - t @ d
global	' g l @} - b @ l
gradually	' g r\ { - dZ j @ - l i:
graduation	' g r\ { - dZ j }: - {I - S @ n
gray	' g r\ {I
greatest	' g r\ {I - t @ s t
greatly	' g r\ {I t - l i:
grocery	' g r\ @} - s @ - r\ i:
guideline	' g Ae d - l Ae n
guilty	' g I l - t i:
ha	' h 6:
happily	' h { - p @ - l i:
happiness	' h { - p i: - n @ s
harassment	 h { - ' r\ { s - m @ n t
healthy	' h { l -  T i:
heavily	' h e - v @ - l i:
helpful	' h { l p - f U l
hey	' h {I
high	' h Ae
historian	' h I s - t o: - r\ i: - @ n
historically	' h I s - t O - r\ I k - l i:
hmm	' h I m
homeless	' h @} m - l @ s
honestly	' O - n @ s t - l i:
honor	' O n - @
hopefully	' h @} p - f @ - l i:
huh	' h 6
humor	' h j }: - m @
hungry	' h 6 N - g r\ i:
icon	' Ae - k O n
ideological	' Ae - d i: - @ - ' l O - dZ I - k @ l
ideology	' Ae - d i: - ' O l - @ - dZ i:
ie	' Ae - ' i:
illness	' I l - n @ s
immediately	' I - m i: - d i: - ' {I t - l i:
immigration	' I m - @ - ' g r\ {I - S @ n
implementation	' I m -  p l e - m @ n - ' t {I - S @ n
importance	 I m - ' p o: - t @ n s
importantly	 I m - ' p o: - t @ n t - l i:
impressive	 I m - ' p r\ e - s I v
improved	 I m - ' p r\ }: v d
improvement	 I m - ' p r\ }: v - m @ n t
increasingly	 I n - ' k r\ i: - s I N - l i:
incredibly	 I n - ' k \r e - d @ - b l i:
independence	 ' I n - d I - ' p e n - d I n s
indication	' I n - d I - ' k {I - S @ n
industrial	 I n - ' d 6 s - t r\ i: - @ l
influential	' I n -  f l }: - ' e n - S @ l
infrastructure	' I n - f r\ 6: - ' s t r\ 6 k - tS @
inherent	' I n - h e - r\ @ n t
initially	 I - ' n I S - @ - l i:
injury	' I n - dZ 3: - r\ i:
innovation	' I n - @} - ' v {I - S @ n
innovative	' I n - @ - ' v {I - t I v
input	' I n - p 6 t
inquiry	' I N - k w Ae - r\ i:
insight	' I n - s Ae t
inspection	 I n - ' s p e k - S @ n
inspiration	' I n -  s p @ - ' r\ {I - S @ n
installation	' I n - s t @ - ' l {I - S @ n
instantly	' I n - s t { n - t l i:
institutional	' I n  - s t I  - ' t j }: - S @ n - @ l
instructional	 I n - ' s t r\ 6 k - S @  n - @ l
instructor	 I n - ' s t r\ 6 k - t @
insurance	' I n - ' S }: - r\ @ n s
integrated	' I n - t @ - ' g r\ {I - t @ d
integration	' I n - t @ - ' g r\ {I - S @ n
intellectual	' I n - t @ - ' l e k - tS U l
intensity	 I n - ' t e n - s @ - t i:
intent	' I n - t e n t
interaction	' I n - t @ - ' r\ { k - S @ n
interested	' I n - t @ - r\ @ s - t @ d
interpretation	' I n - t 3: - p r\ e - ' t {I - S @ n
intervention	' I n - t @ - ' v e n - S @ n
invasion	 I n - ' v {I - Z @ n
invention	 I n - ' v e n - S @ n
inventory	 I n - ' v e n - t @ - r\ i:
investigation	 I n - ' v e s - t @ - ' g {I - S @ n
investigator	' I n - v e s - t @ - ' g {I - t @
investment	 I n - ' v e s t - m @ n t
investor	 I n - ' v e s - t @
invitation	' I n - v I - ' t {I - S @ n
involvement	 I n - ' v O l v - m @ n t
ironically	 Ae - ' r o n - I k - l i:
isolated	' Ae - s O - ' l {I - t @ d
isolation	' Ae - s O - ' l {I - S @ n
jewelry	' dZ j }; @ l - r\ i:
journalism	' dZ o: - n @ - ' l I z - @ m
juror	' dZ 3: - r\ @
killer	' k I - l @
known	' n @} - @ n
lab	' l { b
lamp	' l { m p
largely	' l 6: dZ - l i:
laughter	' l 6: f - t @
lawmaker	' l o: - m {I - k @
lawsuit	' l o: - s }: t
leadership	' l e - d @ - S I p
legacy	' l e - g @ - s i:
legally	' l i: - g @ - l i:
legislative	' l e - dZ I - s l I - t I v
legislator	' l e - dZ I - s l {I - t @
legislature	' l e - dZ I  - s  l {I - tS @
license	' l Ae - s e n s
lifestyle	' l Ae f - s t Ae - @ l
lightly	' l Ae t - l i:
likelihood	' l Ae k - l i: - h U d
likewise	' l Ae k - w Ae z
limitation	' l I - m I - ' t {I - S @ n
lion	' l Ae - @ n
listener	' l I s - n @
literally	' l I - t @ - r\ @ - l i:
logic	' l O dZ - I k
long	' l O N
longtime	' l O N - t Ae m
lots	' l O t s
lover	' l 6 - v @
loyalty	' l oI - @ l - t i:
lucky	' l 6 - k i:
magnetic	m { g - ' n e t - I k
mainly	' m {I n - l i:
maintenance	' m {I n - t e - n @ n s
maker	' m {I - k @
makeup	' m {I k - 6 p
manufacturer	' m { n - j }: - ' f { k - tS r\ @
marker	' m 6: - k @
marketplace	' m 6: - k @ t - p l {I s
math	' m { T	  
meaningful	' m i: - n I N - f U l
measurement	' m e - Z @ - m @ n t
membership	' m e m - b @ - S I p
mentally	' m e n - t @ - l i:
mentor	' m e n - t o:
merchant	' m 3: - tS @ n t
merely	' m e: - l i:	 
middle	' m I - d @ l
midst	' m I d s t
migration	 m Ae - ' g r\ {I - S @ n
minimize	' m I n - @ - m Ae z
ministry	' m I - n I s - t r\ i:
mixed	' m I k s - @ d
mm	 'Im
mom	' m O m
momentum	' m @} - m @ n - t @ m
monthly	' m O n T - l i:
motivation	' m @} - t @ - ' v {I - S @ n
municipal	' m j }: - n I s - @ - p @ l
musician	' m j }: - z I - S @ n
nationwide	' n {I - S @n - w Ae d
naturally	' n { - t \r @ - l i:
naval	' n {I - v @ l
necessarily	' n e - s @ - ' s e - r\ @ - l i:
necessity	 n e - ' s e s - @ - t i:
negotiation	' n e - g @} - S i: - {I - S @ n
neighbor	' n {I - b @
neighborhood	' n {I - b o: - h U d
newly	' n j }: - l i:
nomination	' n O m - @ - ' n {I - S @ n
nominee	' n O - m I - n i:
nonprofit	' n O n - p r\ O - f I t
norm	' n o: m
normally	' n o: - m @ - l i:
northeast	' n o: T - i: s t
northern	' n o: - T @ n
northwest	' n o: T - w e s t
notebook	' n @} t - b U k
nowhere	' n @} - w e:
nutrient	' n j }: - t r\ i: - @ n t
oak	' @} k
objection	@ b - ' dZ e k - S @ n
obligation	' O b - l @ - ' g {I - S @ n
observation	' O b - z 3: - v {I - S @ n
observer	@ b - ' z 3: - v @
obviously	' O b - b v i: - @ - s l i:
occasionally	 O - ' k {I - Z @ n  - l i:
odds	' O d z
offender	 O - ' f e n - d @
offense	 O - ' f e n s
officially	 O - ' f I S - l i:
one	' w 6 n
online	' O n - l Ae n
openly	' @} - p @ n - l i:
operation	' O p - @ - ' r\ {I - S @ n
operator	' O p - @ - ' r\ {I - t @
opposed	 @ - ' p @} z d
opposition	' O p - @ - z I - S @ n
opt	' O p t
optimistic	' O p - t I - m I s - t I k
orbit	' o: - b I t
organization	' o: - g @ - n Ae - ' z {I - S @ n
organizational	' o: - g @ - n Ae - z {I - S @ n - @ l
organize	' o: - g @ - n Ae z
organized	' o: - g @ - n Ae z d
orientation	' O - r\ i: - @ n - ' t {I - S @ n
originally	 o: - ' r\ I dZ - @ n - l i:
others	' O T - @ z
outdoor	' {O t - d o:
outlet	' {O t - l @ t
output	' {O t - p 6 t
outsider	' {O t - s Ae - d @
overall	' @} - v @ - r\ o: l
oversee	' @} - v @ - s i:
owner	' {O - n @
ownership	' {O - n @ - S I p
painful	' p {I n - f U l
painter	' p {I n - t @
parental	' p I@ - r\ @ n - t @ l
partially	' p 6: - S l i:
participant	 p 6: - ' t I s - @ - p @ n t
participation	 p 6: - t I s -  @ - p {I - S @ n
particularly	' p 6: - t I k - j @ - l i:
partly	' p 6: t - l i:
partnership	' p 6: t - n @ - S I p
pastor	' p 6: s - t @
patience	' p {I - S e n s
peaceful	' p i: s - f U l
peanut	' p i: - n 6 t
perceived	p @ - ' s i: v d
percentage	p @ - ' s e n - t I dZ
perfectly	p @ - ' f e k t - l i:
performance	p @ - ' f o: - m @ n s
performer	p @ - ' f o: - m @
personally	' p 3: - s @ n - l i:
perspective	 p 3: - ' s p e k - t I v
philosophical	' f I - l @ - s O f - @ - k @ l
photographer	f @} - ' t O g - ' r\ { - f @
photography	 f @} - ' t O g - r\ @ - f i:
physically	' f I z - I k - l i:
pickup	' p I k - 6 p
pitcher	' p I tS - t@
pizza	' p i: t - s @
placement	' p l {I s - m @ n t
plaintiff	' p l {I n - t I f
planner	' p l { - n @
player	' p l {I - @
playoff	' p l {I - O f
pleased	' p l i: z d
poet	' p @} - @ t
policeman	 p @ - ' l i: s - m @ n
political	 p @ - ' l I t - @ - k @ l
politically	 p @ - ' l I t - I k - l i:
pollution	 p @ - ' l }: - S @ n
popularity	' p O p - j @ - ' l } - r\ @ - t i:
population	' p O p - j @ - ' l {I - S @ n
possibility	' p O - s @ - b I - l @ - t i:
possibly	' p O - s @ - b l i:
potentially	 p @ - ' t e n - S @ - l i:
powerful	' p {O - @ - f U l
practitioner	' p r\ { k - t I - S @ -  n @
prayer	' p r\ {I - @
precisely	' p r\ i: - s Ae s -  l i:
predator	' p r\ e - d @ - t @
prediction	' p r\ e - d I k - S @ n
preference	' p r\ e f - @ - r\ @ n s
pregnancy	' p r\ e g - n @ n - s i:
preparation	' p r\ e p -  @ - r\ {I - S @ n
presence	' p r\ e -  s @ N s
presentation	' p r\ e - s e n - t {I - S @ n
presidency	' p r\ e - s I - d @ n - s i:
presidential	' p r\ e - s I - ' d e n - S @ l
presumably	 p r\ @  - ' z j }: - m @ - b l i:
prevail	 p r\ @ - ' v {I l
prevention	 p r\ I - ' v e n - S @ n
previously	' p r\ i: - v i: - @ - s l i:
primarily	' p r\ Ae - m e: - r\ @ - l i:
prisoner	' p r\ I s - n @
privacy	' p r\ Ae - v @ - s i:
privately	' p r\ Ae - v @ t - l i:
probably	' p r\ O - b @ - b l i:
proclaim	p r\ @ - ' k l {I m
producer	p r\ @ - ' d j }: - s @
production	p r\ @ - ' d 6 k - S @ n
productivity	p r\ @ - ' d 6 k - t I - v @ - t i:
professional	p r\ @ - ' f e s - n @ l
projection	p r\ @ - ' dZ e k - S @ n
promotion	p r\ @ - ' m @} - S @ n
properly	' p r\ O p  - @ - l i:
proposal	p r\ @ - ' p @} - s @ l
proposed	p r\ @ - ' p @} z d
prosecution	p r\ O s - @ - ' k j }: - S @ n
prosecutor	p r\ O s - @ - ' k j }: - t @
protection	p r\ @ - ' t e k - S @ n
provided	p r\ @ - ' v Ae - d @ d
provider	p r\ @ - ' v Ae - d @
province	p r\ O - ' v I n s
psychological	' s Ae - k O - ' l O - dZ I - k @ l
psychologist	' s Ae - k O - l @ - dZ I s t
publicly	' p 6 b - l I k - l i:
publisher	' p 6 b - l I - S @
punishment	' p 6 - n I S - m @ n t
pursuit	 p 3: - ' s }: t
quarterback	' k w o: -  t @ - b { k
quietly	' k w Ae - @ t - l i:
rabbit	' r\ { - b I t
racial	' r\ {I -  S @ l
racism	' r\ {I - s I - z @ m
railroad	' r\ {I l - r\ @} d
ranch	' r\ 6: n tS
rapidly	' r\ { - p I d - l i:
rarely	' r\ I@ - l i:
rational	' r\ { S - n @ l
reaction	' r\ i: - { k - S @ n
reader	' r\ i: - d @
readily	' r\ e - d @ - l i:
realistic	' r\ i: - @ - l I s - t I k
realize	' r\ i: - @ - l Ae z
realm	' r\ e l m
rebuild	' r\ i: - b I l d
recently	' r\ i: - s e n t - l i:
recognition	' r\ i: - k @ g - ' n I - S @ n
recognize	' r\ i: - k @ g - n Ae z
recommendation	' r\ i: - k @ - m e n - d {I - S @ n
recovery	' r\ i: - k 6 - v @ - r\ i:
reduction	 r\ @ - ' d 6 k - S @ n
reflection	' r\ i: - f l e k - S @ n
regional	' r\ i: - dZ @ - n @ l
regularly	' r\ e g - j @ - l @ - l i:
regulator	' r\ e g - j @ - l {I - t @
regulatory	' r\ e g - j @ - l {I - t @ - r\ i:
rehabilitation	' r\ i: - h { - ' b I l - @ - t {I - S @ n
related	 r\ i: - ' l {I - t @ d
reliability	 r\ i: - ' l Ae - @ - b I - l @ - t i:
religious	 r\ @ - ' l I dZ - @ s
reminder	 r\ i: - ' m Ae n - d @
removal	 r\ i: - ' m @} - v @ l
render	' r\ e n - d @
repeatedly	 r\ i: - ' p i: - t @ d - l i:
replacement	' r\ i: - p l {I s - m @ n t
reportedly	 r\ i: - ' p o: - t @ d - l i:
representation	' r\ i: - p r\ I - z e n - ' t {I - S @ n
republican	 r\ @ - ' p 6 b - l @ - k @ n
required	 r\ @ - ' k w Ae - @ d
requirement	' r\ @ - ' k w Ae @ - m @ n t
researcher	 r\ @ - ' s 3: - tS @
respondent	 r\ @  - ' s p O n - d e n t
response	 r\ I  - ' s p O n s
responsibility	 r\ I  - ' s p O n - s @ - b I - l @ - t i:
restriction	 r\ e  - ' s t r\ I k - S @ n
retailer	 r\ i: - ' t {I - l @
retired	 r\ @ - ' t Ae - @ d
retirement	 r\ i: - ' t Ae @ - m @ n t
revelation	' r\ e v - @ - ' l {I - S @ n
rhetoric	' r\ e t - o: - r\ I k
rider	' r\ Ae - d @
ritual	' r\ I - tS U l
romantic	 r\ @} - ' m { n - t I k
roughly	' r\ 6 f - l i:
routinely	' r\ }: - t i: n - l i:
rumor	' r\ }: - m @
runner	' r\ 6 - n @
